2020-05-26 20:50:04,326 INFO  [org.jboss.modules] (main) JBoss Modules version 1.6.0.Final-redhat-1
2020-05-26 20:50:04,722 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.7.SP1-redhat-1
2020-05-26 20:50:04,788 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: JBoss EAP 7.1.0.GA (WildFly Core 3.0.10.Final-redhat-1) starting
2020-05-26 20:50:05,548 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=native-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:05,552 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:05,642 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.1.7.Final-redhat-1
2020-05-26 20:50:05,692 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2020-05-26 20:50:05,695 INFO  [org.xnio] (MSC service thread 1-2) XNIO version 3.5.4.Final-redhat-1
2020-05-26 20:50:05,703 INFO  [org.xnio.nio] (MSC service thread 1-2) XNIO NIO Implementation Version 3.5.4.Final-redhat-1
2020-05-26 20:50:05,769 INFO  [org.jboss.as.patching] (MSC service thread 1-6) WFLYPAT0050: JBoss EAP cumulative patch ID is: base, one-off patches include: none
2020-05-26 20:50:05,782 INFO  [org.jboss.remoting] (MSC service thread 1-2) JBoss Remoting version 5.0.5.Final-redhat-1
2020-05-26 20:50:05,795 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-8) WFLYDM0111: Keystore /volumes/jboss/domain/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2020-05-26 20:50:05,864 INFO  [org.jboss.as.remoting] (MSC service thread 1-7) WFLYRMT0001: Listening on 0.0.0.0:9999
2020-05-26 20:50:07,056 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:07,106 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:07,145 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:07,186 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2020-05-26 20:50:07,472 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2020-05-26 20:50:09,340 INFO  [org.jboss.as.host.controller] (management task-4) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 7940b658 (inbound) of Remoting connection 78643ed3 to 42f8cff83469/172.22.0.2:41273 of endpoint "master:MANAGEMENT" <64f46daf>]
2020-05-26 20:50:09,386 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2020-05-26 20:50:09,417 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2020-05-26 20:50:11,955 INFO  [org.jboss.as.host.controller] (management task-9) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 3f4690f1 (inbound) of Remoting connection 65da0478 to 42f8cff83469/172.22.0.2:39123 of endpoint "master:MANAGEMENT" <64f46daf>]
2020-05-26 20:50:11,998 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://0.0.0.0:9990/management and https://0.0.0.0:-1/management
2020-05-26 20:50:11,998 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://0.0.0.0:9990 and https://0.0.0.0:-1
2020-05-26 20:50:11,999 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.1.0.GA (WildFly Core 3.0.10.Final-redhat-1) (Host Controller) started in 8125ms - Started 77 of 79 services (23 services are lazy, passive or on-demand)
2020-05-26 20:50:11,998 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2020-05-26 20:51:34,110 INFO  [org.jboss.as.host.controller] (External Management Request Threads -- 8) WFLYHC0024: Stopping server server-two
2020-05-26 20:51:34,285 INFO  [org.jboss.as.host.controller] (management task-9) WFLYHC0027: Unregistering server server-two
2020-05-26 20:51:39,407 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-two
